SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
208606;Трусы 3 шт;белый, серый, черный;Мужчинам/Белье/Трусы;276;CALVIN KLEIN;АО БНС Груп;1;13;3;4200;4200;4200;4200;4200;0;4200;0;5;3990;180600;0;0;30;22;1.4333333333333;43;1.4333333333333;180600
212014;Подарочный набор ;серый, сиреневый;Аксессуары/Галстуки и бабочки/Галстук;-1;S.QUIRE;ООО Вайлдберриз;0;10;5;1190;414;1190;1190;1190;0;1190;0;5;1130;17850;16660;93.333333333333;2;1;0;1;0.033333333333333;1190
212134;Зажигалка бензиновая;серебристый;Дом/Для курения/Зажигалка бензиновая;634;Zippo;ООО МИР;3;10;4;2032;2032;2540;0;2032;20;2540;0;5;1930;0;0;0;30;0;0;0;0;0
212136;Зажигалка бензиновая;серебристый;Дом/Для курения/Зажигалка бензиновая;351;Zippo;ООО МИР;4;42;4;1968;1968;2460;1968;1968;20;2460;0;5;1869;3935;0;-1.1553540418863E-14;30;2;0.066666666666667;2;0.066666666666667;3936
212774;Перчатки;серо-коричневый;Аксессуары/Перчатки и варежки/Перчатки;3566;Eleganzza;ООО Гретта;12;14;4;1957;1885;2175;1921;1957;73;7250;0;5;1859;3842;0;0;30;2;0.066666666666667;2;0.066666666666667;3842
213914;Трактор с ковшом;красный;Игрушки/Игрушечный транспорт/Машинка;-1;Bruder;ООО Вайлдберриз;0;18;4;3511;2013;3511;2491.4285714286;3511;9;3859;0;5;3336;43600;8720;20;24;11;0.5;14;0.46666666666667;34880
213916;Экскаватор CATERPILLAR;желтый, черный;Игрушки/Игрушечный транспорт/Машинка;-1;Bruder;ООО Вайлдберриз;0;20;5;1612;1457;1612;1457;1612;26;2179;0;5;1531;116560;104904;90;3;4;1.6666666666667;8;0.26666666666667;11656
213917;Погрузчик JLG 2505;оранжевый, черный;Игрушки/Игрушечный транспорт/Машинка;258;Bruder;ООО Вайлдберриз;43;38;5;2570;1439;2570;1740.3636363636;2570;14;2989;0;5;2442;38288;0;0;30;13;0.73333333333333;22;0.73333333333333;38288
213927;Трактор Fendt 936 Vario;черный, зеленый;Игрушки/Игрушечный транспорт/Машинка;-1;Bruder;ООО Вайлдберриз;0;10;4;3200;1600;3200;1600;3200;0;3200;0;5;3040;16000;14400;90;3;1;0;1;0.033333333333333;1600
215757;Перчатки;фиолетовый;Аксессуары/Перчатки и варежки/Перчатки;6472;Eleganzza;ООО Гретта;11;12;5;1957;1957;2175;2175;1957;73;7250;0;4;1879;4350;0;0;30;1;0.066666666666667;2;0.066666666666667;4350
215800;Перчатки;синий;Аксессуары/Перчатки и варежки/Перчатки;8634;Eleganzza;ООО Гретта;2;13;5;3485;3485;4100;3649;3485;15;4100;0;5;3310;7298;0;0;30;2;0.066666666666667;2;0.066666666666667;7298
215980;Плавки;оливковый, золотистый;Спорт/Водные виды спорта/Плавки и шорты для плавания/Плавки;2816;Solline;ООО Миланж;3;5;4;1290;1086;1290;0;1358;30;1940;5;5;1225;0;0;0;30;0;0;0;0;0
216055;Ручка шариковая;серебристый;Канцтовары/Письменные принадлежности/Ручка;8584;Pierre Cardin..;ООО МИР;4;18;3;727;662;727;0;727;25;970;0;2;712;0;0;0;30;0;0;0;0;0
216056;Ручка шариковая;серебристый, золотистый;Мужчинам/Подарки мужчинам/Коллеге/Ручка;82;Pierre Cardin..;ООО МИР;1;3;4;922;861;922;861;922;25;1230;0;5;876;1722;0;0;30;2;0.066666666666667;2;0.066666666666667;1722
